true_class;predicted_class;confidence;prob_angry_disgust;prob_fear_surprise;prob_happy;prob_neutral;prob_sad;preset;pleasure_pain_balance;approach_avoidance_balance;novelty_familiarity_balance;spawn_rate_multiplier;enemy_speed_multiplier;enemy_health_multiplier;enemy_damage_multiplier;player_speed_multiplier;player_damage_multiplier;item_drop_chance_modifier
standard;standard;0.38022037735133685;0.1995363048095357;0.20894077413866183;0.22160987323713185;0.18662359083917174;0.1832894569754989;standard;0.09464183429271383;0.02302324801947167;0.05641858749474265;-0.01707857829142715;0.022765628897791587;0.006188323702841007;-0.011286058916212522;-0.01716951782345284;-0.010307875962308418;-0.00888959059755409
standard;standard;0.4873145626443112;0.1784476231649365;0.22420092623312365;0.26744475349114205;0.174294969992734;0.15561172711806381;standard;0.2643453743305947;0.11363086244884643;0.12523580659346645;-0.016919260652585033;-0.03483528224766605;0.02280026572801571;0.019412673452228864;-0.02546510903613719;0.0027262259112733533;-0.018044764054295333
standard;standard;0.4056733980103357;0.18122986055148993;0.2125765940783627;0.1826303773515383;0.20494724790386892;0.21861592011474013;standard;-0.08968442099925397;0.07959933709147275;0.018272839116311057;-0.005231344464530706;-0.00689533159747313;-0.00855668431435745;0.040058941681525725;-0.008806513693523808;-0.016165276501338494;-0.015251628589940959
standard;standard;0.41332700464033995;0.2962576910716451;0.1579373194239894;0.17086305954561196;0.17069361551280512;0.20424831444594854;standard;-0.0890009109963128;-0.30453960392765955;-0.03881647874417045;0.020875539128035105;-0.0330420466338587;-0.015252458328710404;0.02893645680223068;0.0048797237599529355;0.0038384401007222646;0.04264292920287403
standard;standard;0.4371825989228854;0.18148516958815042;0.19291842030360543;0.1683955727810761;0.21289425011078245;0.2443065872163856;standard;-0.18393655268586634;0.030537235001908327;-0.04922426225513477;0.0049269590589699755;-0.014163723227191649;-0.005641541137526973;-0.022708646180611376;0.025118740800313937;0.011491234350734307;0.022488282999417783
standard;standard;0.45149787914858075;0.2128825438608128;0.18884971676914045;0.15795921994565404;0.1784395275302499;0.2618689918941427;standard;-0.24750544756883885;-0.05982299369176057;0.028343299230869548;0.024259678570987413;-0.008284215618550653;-0.018895057040177795;-0.0010342622261609168;-0.017455221415770765;0.0032991375081804935;0.022641937616693784
standard;standard;0.36366468902681914;0.1887582110406746;0.1848791137040143;0.18048452116945857;0.22382991369789626;0.22204824038795626;standard;-0.10325549161546788;-0.01038198535301871;-0.09530202767593579;-0.003362792920983344;0.002999901798154783;-0.0018769123244673305;0.016054551448753954;-0.013355647885765801;-0.04392892523286198;0.009417377187507616
standard;standard;0.368215149781721;0.21864650010912898;0.20572370795911027;0.21154486259169603;0.18111068375719325;0.18297424558287154;standard;0.07241884028591615;-0.03045169429853984;0.06362677179877015;0.019756688426159873;0.008927484895170715;-0.012804609909360278;-0.02270024196372138;0.009889950635606428;0.002829579058693473;-0.0025158525531665953
standard;standard;0.36815326786445235;0.1509055273859598;0.27079506029899264;0.17406760470307292;0.18558690598771388;0.2186449016242608;standard;-0.11351127114072378;0.2843001256607203;0.18670359203175374;0.03644926685987582;-0.018936001883626635;0.03550074042254931;0.0006356780974127987;-0.03671140953741749;-0.0035840530863828174;0.01918992153198882
standard;standard;0.47654121969560626;0.2000726002021669;0.19592770738529752;0.1692046799680323;0.18553492929690144;0.24926008314760176;standard;-0.19130738911073839;-0.010466892658372447;0.027244549836761434;-0.007301100656099414;-0.0294955708247679;-0.003290290635923399;-0.017143447477834115;0.009836288021759253;0.015467996321352227;-0.021125408154962125
standard;standard;0.5369000298486071;0.271805590406675;0.13693880622036647;0.1938608494961861;0.21877509500347142;0.17861965887330095;standard;0.04091808798377596;-0.3299538342291437;-0.23006209822254697;-0.014116081102312992;0.015132849302138754;-0.017176885565979183;-0.021643162716559902;-0.023573822635925095;0.0070407722591624075;0.006183154390349284
